���,�ܺĳɱ�  ,�ܵ���ϳɱ�,�޵׻�ϳɱ�,�л�����,�ù޸���
91 ,981.68 ,170.0   ,191.0  ,23.0   ,11.0  ,
92 ,983.7  ,171.0   ,247.0  ,23.0   ,9.0   ,
93 ,856.99 ,170.0   ,245.0  ,24.0   ,10.0  ,
94 ,840.01 ,171.0   ,217.0  ,25.0   ,11.0  ,
95 ,911.18 ,197.0   ,170.0  ,24.0   ,10.0  ,
96 ,1023.64,197.0   ,173.0  ,23.0   ,10.0  ,
97 ,1023.64,197.0   ,149.0  ,23.0   ,11.0  ,
98 ,843.07 ,171.0   ,190.0  ,25.0   ,11.0  ,
99 ,822.17 ,225.0   ,221.0  ,28.0   ,11.0  ,
100,815.5  ,251.0   ,248.0  ,29.0   ,11.0  ,
101,823.75 ,197.0   ,226.0  ,28.0   ,11.0  ,
102,850.65 ,144.0   ,327.0  ,25.0   ,11.0  ,
103,826.02 ,225.0   ,247.0  ,27.0   ,11.0  ,
104,995.89 ,170.0   ,193.0  ,23.0   ,10.0  ,
105,989.8  ,170.0   ,169.0  ,23.0   ,11.0  ,
106,824.09 ,196.0   ,302.0  ,28.0   ,10.0  ,
107,818.22 ,221.0   ,297.0  ,29.0   ,11.0  ,
108,982.63 ,197.0   ,170.0  ,23.0   ,11.0  ,
109,827.16 ,197.0   ,254.0  ,27.0   ,10.0  ,
110,992.1  ,170.0   ,196.0  ,23.0   ,10.0  ,
111,978.44 ,170.0   ,199.0  ,23.0   ,11.0  ,
112,828.0  ,197.0   ,247.0  ,26.0   ,10.0  ,
113,824.09 ,196.0   ,249.0  ,28.0   ,11.0  ,
114,848.18 ,170.0   ,218.0  ,25.0   ,11.0  ,
115,857.3  ,171.0   ,169.0  ,24.0   ,11.0  ,
116,859.58 ,171.0   ,252.0  ,24.0   ,9.0   ,
117,846.59 ,171.0   ,167.0  ,25.0   ,11.0  ,
118,847.04 ,171.0   ,222.0  ,25.0   ,9.0   ,
119,857.3  ,171.0   ,193.0  ,24.0   ,10.0  ,
120,828.4  ,224.0   ,192.0  ,27.0   ,11.0  ,
121,825.05 ,221.0   ,299.0  ,27.0   ,10.0  ,
122,831.7  ,196.0   ,193.0  ,28.0   ,11.0  ,
123,837.35 ,197.0   ,171.0  ,26.0   ,11.0  ,
124,836.22 ,197.0   ,243.0  ,25.0   ,10.0  ,
125,822.58 ,198.0   ,243.0  ,28.0   ,11.0  ,
126,825.03 ,225.0   ,272.0  ,27.0   ,11.0  ,
127,825.05 ,221.0   ,272.0  ,27.0   ,11.0  ,
128,843.72 ,197.0   ,196.0  ,25.0   ,10.0  ,
129,851.59 ,171.0   ,241.0  ,24.0   ,10.0  ,
130,822.92 ,197.0   ,248.0  ,28.0   ,11.0  ,
131,854.74 ,170.0   ,223.0  ,25.0   ,10.0  ,
132,837.35 ,197.0   ,193.0  ,26.0   ,10.0  ,
133,824.86 ,171.0   ,242.0  ,28.0   ,11.0  ,
134,860.13 ,170.0   ,221.0  ,25.0   ,10.0  ,
135,860.11 ,170.0   ,194.0  ,24.0   ,11.0  ,
136,986.72 ,197.0   ,149.0  ,25.0   ,11.0  ,
137,858.9  ,197.0   ,192.0  ,24.0   ,10.0  ,
138,816.91 ,251.0   ,382.0  ,28.0   ,11.0  ,
139,820.19 ,224.0   ,243.0  ,29.0   ,11.0  ,
140,819.45 ,221.0   ,293.0  ,28.0   ,11.0  ,
141,843.1  ,171.0   ,169.0  ,25.0   ,11.0  ,
142,814.19 ,261.0   ,276.0  ,29.0   ,11.0  ,
143,823.24 ,171.0   ,353.0  ,28.0   ,10.0  ,
144,832.27 ,196.0   ,169.0  ,27.0   ,11.0  ,
145,818.3  ,261.0   ,227.0  ,28.0   ,11.0  ,
146,817.99 ,287.0   ,290.0  ,29.0   ,10.0  ,
147,819.11 ,224.0   ,272.0  ,29.0   ,11.0  ,
148,839.69 ,171.0   ,171.0  ,26.0   ,11.0  ,
149,867.97 ,170.0   ,192.0  ,25.0   ,11.0  ,
150,851.59 ,197.0   ,217.0  ,24.0   ,10.0  ,
151,881.53 ,170.0   ,191.0  ,24.0   ,11.0  ,
152,852.09 ,197.0   ,193.0  ,24.0   ,10.0  ,
153,826.53 ,171.0   ,196.0  ,27.0   ,11.0  ,
154,840.26 ,171.0   ,217.0  ,25.0   ,10.0  ,
155,838.91 ,171.0   ,217.0  ,26.0   ,10.0  ,
156,834.39 ,171.0   ,196.0  ,26.0   ,11.0  ,
157,818.73 ,224.0   ,278.0  ,29.0   ,10.0  ,
158,836.47 ,197.0   ,193.0  ,25.0   ,11.0  ,
159,854.46 ,171.0   ,217.0  ,24.0   ,10.0  ,
160,818.73 ,224.0   ,276.0  ,29.0   ,11.0  ,
161,852.09 ,197.0   ,169.0  ,24.0   ,11.0  ,
162,839.69 ,171.0   ,193.0  ,26.0   ,10.0  ,
163,819.4  ,222.0   ,249.0  ,28.0   ,11.0  ,
164,850.78 ,170.0   ,195.0  ,26.0   ,11.0  ,
165,826.18 ,221.0   ,246.0  ,29.0   ,10.0  ,
166,826.04 ,251.0   ,246.0  ,27.0   ,10.0  ,
167,826.05 ,251.0   ,220.0  ,27.0   ,11.0  ,
168,828.81 ,196.0   ,244.0  ,27.0   ,10.0  ,
169,823.37 ,221.0   ,247.0  ,29.0   ,10.0  ,
170,839.66 ,225.0   ,168.0  ,26.0   ,11.0  ,
171,981.88 ,171.0   ,193.0  ,23.0   ,10.0  ,
172,955.04 ,171.0   ,154.0  ,24.0   ,11.0  ,
173,819.85 ,250.0   ,272.0  ,29.0   ,10.0  ,
174,819.85 ,250.0   ,245.0  ,29.0   ,11.0  ,
175,864.4  ,170.0   ,193.0  ,24.0   ,11.0  ,
176,989.58 ,197.0   ,192.0  ,23.0   ,10.0  ,
177,863.62 ,170.0   ,221.0  ,24.0   ,10.0  ,
178,870.84 ,144.0   ,224.0  ,24.0   ,11.0  ,
179,854.82 ,197.0   ,168.0  ,24.0   ,11.0  ,
180,901.11 ,146.0   ,247.0  ,24.0   ,10.0  ,
181,815.5  ,250.0   ,298.0  ,30.0   ,10.0  ,
182,812.37 ,290.0   ,404.0  ,29.0   ,11.0  ,
183,814.95 ,250.0   ,327.0  ,29.0   ,11.0  ,
184,823.75 ,196.0   ,270.0  ,28.0   ,11.0  ,
185,851.59 ,171.0   ,217.0  ,24.0   ,11.0  ,
186,859.2  ,170.0   ,225.0  ,24.0   ,11.0  ,
187,823.24 ,171.0   ,271.0  ,28.0   ,11.0  ,
188,815.5  ,250.0   ,247.0  ,30.0   ,11.0  ,
189,812.38 ,289.0   ,330.0  ,29.0   ,11.0  ,
190,882.34 ,171.0   ,167.0  ,24.0   ,11.0  ,
191,980.04 ,171.0   ,170.0  ,24.0   ,10.0  ,
192,840.54 ,197.0   ,192.0  ,25.0   ,11.0  ,
193,854.46 ,171.0   ,194.0  ,24.0   ,11.0  ,
194,840.26 ,171.0   ,194.0  ,25.0   ,11.0  ,
195,814.84 ,250.0   ,299.0  ,30.0   ,10.0  ,
196,888.38 ,146.0   ,193.0  ,26.0   ,11.0  ,
197,842.16 ,171.0   ,193.0  ,25.0   ,11.0  ,
198,824.27 ,251.0   ,219.0  ,28.0   ,11.0  ,
199,860.11 ,146.0   ,218.0  ,25.0   ,11.0  ,
200,857.27 ,146.0   ,229.0  ,25.0   ,11.0  ,
201,813.09 ,250.0   ,352.0  ,30.0   ,11.0  ,
202,831.9  ,171.0   ,220.0  ,26.0   ,10.0  ,
203,824.49 ,222.0   ,193.0  ,28.0   ,11.0  ,
204,836.85 ,211.0   ,189.0  ,26.0   ,11.0  ,
205,822.68 ,222.0   ,220.0  ,28.0   ,11.0  ,
206,893.29 ,170.0   ,171.0  ,24.0   ,11.0  ,
207,1003.26,144.0   ,221.0  ,24.0   ,11.0  ,
208,851.62 ,170.0   ,193.0  ,25.0   ,11.0  ,
209,869.17 ,146.0   ,268.0  ,24.0   ,11.0  ,
210,848.8  ,170.0   ,245.0  ,26.0   ,10.0  ,
211,883.37 ,146.0   ,295.0  ,24.0   ,10.0  ,
212,868.67 ,146.0   ,270.0  ,24.0   ,11.0  ,
213,861.85 ,144.0   ,221.0  ,25.0   ,11.0  ,
214,847.96 ,144.0   ,243.0  ,26.0   ,11.0  ,
215,848.64 ,170.0   ,276.0  ,26.0   ,10.0  ,
216,952.91 ,197.0   ,153.0  ,24.0   ,11.0  ,
217,894.53 ,146.0   ,203.0  ,24.0   ,11.0  ,
218,894.53 ,146.0   ,248.0  ,24.0   ,10.0  ,
219,965.26 ,146.0   ,190.0  ,24.0   ,11.0  ,
220,871.59 ,197.0   ,159.0  ,24.0   ,11.0  ,
221,871.59 ,197.0   ,172.0  ,24.0   ,10.0  ,
222,835.61 ,225.0   ,195.0  ,26.0   ,10.0  ,
223,812.01 ,275.0   ,326.0  ,31.0   ,10.0  ,
224,812.01 ,275.0   ,325.0  ,31.0   ,11.0  ,
225,985.85 ,171.0   ,177.0  ,23.0   ,11.0  ,
226,836.55 ,225.0   ,192.0  ,26.0   ,11.0  ,
227,830.61 ,197.0   ,224.0  ,27.0   ,10.0  ,
228,850.3  ,144.0   ,221.0  ,26.0   ,11.0  ,
229,854.6  ,144.0   ,220.0  ,26.0   ,11.0  ,
230,903.97 ,144.0   ,193.0  ,26.0   ,11.0  ,
231,899.66 ,144.0   ,194.0  ,26.0   ,11.0  ,
